name,datetime,order_type,volume,min_price,max_price,range,median,avg_price,mod_rank,item_id
adaptation,2023-07-20T00:00:00.000+00:00,buy,86,50.0,68.0,18.0,60.0,59.0,10.0,5bc1ab93b919f200c18c10ef
adaptation,2023-07-18T00:00:00.000+00:00,closed,16,70.0,80.0,10.0,77.5,75.0,10.0,5bc1ab93b919f200c18c10ef
adaptation,2023-07-17T00:00:00.000+00:00,buy,10069,41.0,65.0,24.0,56.0,53.0,10.0,5bc1ab93b919f200c18c10ef
adaptation,2023-07-17T00:00:00.000+00:00,sell,1317,70.0,118.0,48.0,90.0,94.0,10.0,5bc1ab93b919f200c18c10ef
adaptation,2023-07-21T00:00:00.000+00:00,buy,86,50.0,65.0,15.0,59.0,57.5,10.0,5bc1ab93b919f200c18c10ef
adaptation,2023-07-21T00:00:00.000+00:00,sell,346,65.0,110.0,45.0,90.0,87.5,10.0,5bc1ab93b919f200c18c10ef
adaptation,2023-07-21T00:00:00.000+00:00,closed,11,60.0,84.0,24.0,74.0,72.0,10.0,5bc1ab93b919f200c18c10ef
adaptation,2023-07-15T00:00:00.000+00:00,closed,14,75.0,80.0,5.0,78.0,77.5,10.0,5bc1ab93b919f200c18c10ef
adaptation,2023-07-15T00:00:00.000+00:00,sell,1356,70.0,119.0,49.0,90.0,94.5,10.0,5bc1ab93b919f200c18c10ef
adaptation,2023-07-17T00:00:00.000+00:00,closed,8,75.0,80.0,5.0,79.0,77.5,10.0,5bc1ab93b919f200c18c10ef
adaptation,2023-07-15T00:00:00.000+00:00,buy,147,50.0,68.0,18.0,60.0,59.0,10.0,5bc1ab93b919f200c18c10ef
adaptation,2023-07-18T00:00:00.000+00:00,sell,1347,70.0,110.0,40.0,90.0,90.0,10.0,5bc1ab93b919f200c18c10ef
adaptation,2023-07-20T00:00:00.000+00:00,closed,16,70.0,90.0,20.0,79.5,80.0,10.0,5bc1ab93b919f200c18c10ef
adaptation,2023-07-16T00:00:00.000+00:00,sell,1366,70.0,118.0,48.0,90.0,94.0,10.0,5bc1ab93b919f200c18c10ef
adaptation,2023-07-20T00:00:00.000+00:00,sell,1327,70.0,118.0,48.0,90.0,94.0,10.0,5bc1ab93b919f200c18c10ef
adaptation,2023-07-19T00:00:00.000+00:00,closed,15,61.0,100.0,39.0,80.0,80.5,10.0,5bc1ab93b919f200c18c10ef
adaptation,2023-07-19T00:00:00.000+00:00,sell,1320,70.0,110.0,40.0,90.0,90.0,10.0,5bc1ab93b919f200c18c10ef
adaptation,2023-07-19T00:00:00.000+00:00,buy,163,40.0,65.0,25.0,55.0,52.5,10.0,5bc1ab93b919f200c18c10ef
adaptation,2023-07-18T00:00:00.000+00:00,buy,167,41.0,66.0,25.0,60.0,53.5,10.0,5bc1ab93b919f200c18c10ef
adaptation,2023-07-16T00:00:00.000+00:00,closed,11,75.0,85.0,10.0,80.0,80.0,10.0,5bc1ab93b919f200c18c10ef
adaptation,2023-07-16T00:00:00.000+00:00,buy,10151,41.0,65.0,24.0,55.0,53.0,10.0,5bc1ab93b919f200c18c10ef
adarza_kavat_imprint,2023-07-16T00:00:00.000+00:00,closed,10,5.0,10.0,5.0,7.5,7.5,,5ba9f2054567de01415f6391
adarza_kavat_imprint,2023-07-21T00:00:00.000+00:00,closed,3,7.0,9.0,2.0,8.0,8.0,,5ba9f2054567de01415f6391
adarza_kavat_imprint,2023-07-17T00:00:00.000+00:00,buy,2,3.0,5.0,2.0,4.0,4.0,,5ba9f2054567de01415f6391
adarza_kavat_imprint,2023-07-21T00:00:00.000+00:00,sell,270,8.0,12.0,4.0,10.0,10.0,,5ba9f2054567de01415f6391
adarza_kavat_imprint,2023-07-17T00:00:00.000+00:00,sell,323,8.0,12.0,4.0,10.0,10.0,,5ba9f2054567de01415f6391
adarza_kavat_imprint,2023-07-19T00:00:00.000+00:00,buy,10,3.0,5.0,2.0,5.0,4.0,,5ba9f2054567de01415f6391
adarza_kavat_imprint,2023-07-21T00:00:00.000+00:00,buy,2,3.0,5.0,2.0,4.0,4.0,,5ba9f2054567de01415f6391
adarza_kavat_imprint,2023-07-17T00:00:00.000+00:00,closed,5,6.0,10.0,4.0,9.0,8.0,,5ba9f2054567de01415f6391
adarza_kavat_imprint,2023-07-16T00:00:00.000+00:00,buy,4,3.0,5.0,2.0,3.0,4.0,,5ba9f2054567de01415f6391
adarza_kavat_imprint,2023-07-15T00:00:00.000+00:00,closed,19,5.0,10.0,5.0,6.0,7.5,,5ba9f2054567de01415f6391
adarza_kavat_imprint,2023-07-18T00:00:00.000+00:00,sell,291,8.0,12.0,4.0,10.0,10.0,,5ba9f2054567de01415f6391
adarza_kavat_imprint,2023-07-15T00:00:00.000+00:00,buy,4,3.0,8.0,5.0,5.5,5.5,,5ba9f2054567de01415f6391
adarza_kavat_imprint,2023-07-15T00:00:00.000+00:00,sell,327,8.0,11.0,3.0,10.0,9.5,,5ba9f2054567de01415f6391
adarza_kavat_imprint,2023-07-18T00:00:00.000+00:00,buy,2,3.0,5.0,2.0,4.0,4.0,,5ba9f2054567de01415f6391
adarza_kavat_imprint,2023-07-19T00:00:00.000+00:00,sell,255,8.0,12.0,4.0,10.0,10.0,,5ba9f2054567de01415f6391
adarza_kavat_imprint,2023-07-18T00:00:00.000+00:00,closed,4,5.0,9.0,4.0,9.0,7.0,,5ba9f2054567de01415f6391
adarza_kavat_imprint,2023-07-19T00:00:00.000+00:00,closed,5,5.0,10.0,5.0,6.5,7.5,,5ba9f2054567de01415f6391
adarza_kavat_imprint,2023-07-20T00:00:00.000+00:00,buy,2,3.0,5.0,2.0,4.0,4.0,,5ba9f2054567de01415f6391
adarza_kavat_imprint,2023-07-20T00:00:00.000+00:00,closed,19,7.0,10.0,3.0,9.0,8.5,,5ba9f2054567de01415f6391
adarza_kavat_imprint,2023-07-16T00:00:00.000+00:00,sell,371,8.0,11.0,3.0,10.0,9.5,,5ba9f2054567de01415f6391
adarza_kavat_imprint,2023-07-20T00:00:00.000+00:00,sell,242,8.0,12.0,4.0,10.0,10.0,,5ba9f2054567de01415f6391
aeolak_barrel,2023-07-21T00:00:00.000+00:00,sell,206,15.0,25.0,10.0,20.0,20.0,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-19T00:00:00.000+00:00,sell,163,18.0,22.0,4.0,20.0,20.0,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-20T00:00:00.000+00:00,buy,120,2.0,18.0,16.0,10.0,10.0,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-20T00:00:00.000+00:00,sell,127,18.0,22.0,4.0,20.0,20.0,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-21T00:00:00.000+00:00,buy,34,7.0,18.0,11.0,13.0,12.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-21T00:00:00.000+00:00,closed,12,15.0,20.0,5.0,18.0,17.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-19T00:00:00.000+00:00,buy,120,7.0,18.0,11.0,10.0,12.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-20T00:00:00.000+00:00,closed,8,19.0,20.0,1.0,20.0,19.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-18T00:00:00.000+00:00,closed,9,17.0,20.0,3.0,19.5,18.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-18T00:00:00.000+00:00,buy,137,2.0,18.0,16.0,10.0,10.0,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-17T00:00:00.000+00:00,sell,221,16.0,25.0,9.0,20.0,20.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-18T00:00:00.000+00:00,sell,176,18.0,22.0,4.0,20.0,20.0,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-17T00:00:00.000+00:00,buy,123,5.0,18.0,13.0,10.0,11.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-17T00:00:00.000+00:00,closed,20,15.0,20.0,5.0,18.0,17.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-16T00:00:00.000+00:00,closed,16,15.0,20.0,5.0,19.0,17.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-16T00:00:00.000+00:00,buy,131,5.0,18.0,13.0,10.0,11.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-15T00:00:00.000+00:00,sell,241,15.0,25.0,10.0,20.0,20.0,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-15T00:00:00.000+00:00,buy,123,7.0,12.0,5.0,10.0,9.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-15T00:00:00.000+00:00,closed,10,15.0,20.0,5.0,17.0,17.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-19T00:00:00.000+00:00,closed,9,18.0,20.0,2.0,19.0,19.0,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-16T00:00:00.000+00:00,sell,266,15.0,25.0,10.0,20.0,20.0,,626ca573f40db600829c9d0d
aeolak_receiver,2023-07-19T00:00:00.000+00:00,sell,47,38.0,70.0,32.0,47.0,54.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-21T00:00:00.000+00:00,sell,53,40.0,60.0,20.0,49.0,50.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-21T00:00:00.000+00:00,buy,41,15.0,35.0,20.0,25.0,25.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-21T00:00:00.000+00:00,closed,7,39.0,45.0,6.0,40.0,42.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-19T00:00:00.000+00:00,buy,27,13.0,35.0,22.0,25.0,24.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-18T00:00:00.000+00:00,closed,12,35.0,50.0,15.0,42.0,42.5,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-18T00:00:00.000+00:00,buy,41,15.0,32.0,17.0,25.0,23.5,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-18T00:00:00.000+00:00,sell,50,35.0,70.0,35.0,46.0,52.5,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-17T00:00:00.000+00:00,sell,56,38.0,60.0,22.0,45.0,49.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-17T00:00:00.000+00:00,buy,27,15.0,33.0,18.0,25.0,24.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-17T00:00:00.000+00:00,closed,10,38.0,50.0,12.0,41.0,44.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-15T00:00:00.000+00:00,closed,14,35.0,45.0,10.0,40.0,40.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-19T00:00:00.000+00:00,closed,10,42.0,50.0,8.0,45.0,46.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-15T00:00:00.000+00:00,buy,143,10.0,33.0,23.0,20.0,21.5,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-16T00:00:00.000+00:00,buy,41,15.0,30.0,15.0,23.0,22.5,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-16T00:00:00.000+00:00,sell,58,38.0,75.0,37.0,46.0,56.5,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-15T00:00:00.000+00:00,sell,58,35.0,75.0,40.0,49.0,55.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-16T00:00:00.000+00:00,closed,11,30.0,50.0,20.0,39.0,40.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-20T00:00:00.000+00:00,buy,25,13.0,35.0,22.0,25.0,24.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-20T00:00:00.000+00:00,sell,39,39.0,75.0,36.0,45.0,57.0,,626ca573f40db600829c9d0a
